"country","gdp","gdppc","unemployment_rate","median_age","sex_ratio","infant_mortality","life_expectancy","total_fertility","literacy"
"norway",3.812e+11,72100,4.2,39.3,1.02,2.5,82,1.85,NA
"oman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pacific_ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pakistan",1.061e+12,5400,6,24.1,1.05,50.4,68.4,2.55,57.9
"palau",2.64e+08,14700,1.7,33.6,1.08,10.3,73.6,1.7,96.6
"panama",1.041e+11,25400,6,29.5,1.01,9.6,78.9,2.28,95
"papua_new_guinea",3.019e+10,3700,2.5,23.4,1.04,35.3,67.5,2.97,64.2
"paracel_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"paraguay",8.891e+10,12800,5.7,28.7,1.01,18.1,77.6,1.9,94.7
"peru",4.303e+11,13500,6.9,28.4,0.96,17.8,74.2,2.1,94.2
"philippines",8.772e+11,8400,5.7,23.7,1.01,20.9,69.6,2.99,96.3
"pitcairn_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"poland",1.126e+12,29600,4.9,41.1,0.94,4.4,77.9,1.36,99.8
"portugal",3.141e+11,30500,8.9,43.7,0.9,2.6,80.9,1.39,95.7
"puerto_rico",1.3e+11,39400,10.8,42.2,0.9,6.3,81,1.21,93.3
"qatar",3.395e+11,124100,8.9,33.4,3.41,6,79,1.89,97.3
"romania",4.834e+11,24600,4.9,41.6,0.95,9.2,75.6,1.36,98.8
"russia",4.016e+12,27900,5.2,39.8,0.86,6.7,71.3,1.61,99.7
"rwanda",2.468e+10,2100,2.7,19.2,0.96,29.1,64.5,3.75,70.5
"saint_barthelemy",NA,NA,NA,44.7,1.13,NA,NA,NA,NA
"saint_helena_ascension_and_tristan_da_cunha",31100000,7800,14,42.4,1.01,12.8,79.8,1.59,NA
"saint_kitts_and_nevis",1.55e+09,28200,4.5,35.5,1,8.2,76.2,1.77,NA
"saint_lucia",2.542e+09,14400,20,35.5,0.95,10.6,78.1,1.74,NA
"saint_martin",561500000,19300,NA,32.8,0.93,NA,NA,NA,NA
"saint_pierre_and_miquelon",261300000,46200,8.7,47.2,0.95,6.4,80.7,1.57,NA
"saint_vincent_and_the_grenadines",1.265e+09,11500,18.8,34.2,1.04,11.7,75.8,1.78,NA
"samoa",1.137e+09,5700,5.2,24.8,1.04,18,74.2,2.64,99
"san_marino",2.064e+09,59000,8.1,44.7,0.94,4.3,83.4,1.51,NA
"sao_tome_and_principe",6.86e+08,3200,12.2,18.7,1,44.1,65.7,4.11,74.9
"saudi_arabia",1.775e+12,54500,6,29.9,1.3,12.1,75.7,2.04,94.7
"senegal",5.48e+10,3500,48,19,0.94,48,62.5,4.2,51.9
"serbia",1.057e+11,15100,14.1,42.8,0.95,5.7,75.9,1.44,98.8
"seychelles",2.75e+09,29300,3,35.8,1.06,9.7,75.2,1.85,91.8
"sierra_leone",1.155e+10,1600,15,19.1,0.95,66.7,59,4.69,48.1
"singapore",5.281e+11,94100,2.2,34.9,0.96,2.3,85.5,0.84,97
"sint_maarten",365800000,66800,12,41.2,0.98,7.9,78.5,2.04,NA
"slovakia",1.797e+11,33100,8.1,41,0.94,5,77.4,1.42,NA
"slovenia",7.123e+10,34500,6.6,44.2,0.99,1.6,81.2,1.58,99.7
"solomon_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"south_africa",7.672e+11,13600,27.5,27.4,0.98,29.9,64.1,2.26,94.4
"south_georgia_and_south_sandwich_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"south_sudan",2.001e+10,1600,NA,18.1,1.06,90.4,NA,5.34,27
"southern_ocean",NA,NA,NA,NA,NA,NA,NA,NA,NA
"spain",1.778e+12,38400,17.2,43.1,0.98,3.3,81.8,1.5,98.3
"spratly_islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"sri_lanka",2.758e+11,12900,4.4,33.1,0.95,8.2,77.1,2.05,91.9
"sudan",1.774e+11,4300,19.6,17.9,1.01,44.2,65.8,4.85,75.9
"suriname",8.688e+09,14900,8.9,30.2,1.01,23.7,72.8,1.9,95.6
"svalbard",NA,NA,NA,NA,NA,NA,NA,NA,NA
"sweden",5.18e+11,51200,6.7,41.1,1,2.6,82.2,1.87,NA
"switzerland",5.231e+11,62100,3.2,42.5,0.97,3.6,82.7,1.56,NA
"syria",5.028e+10,2900,50,24.5,1.01,14.4,75.2,2.44,86.4
"taiwan",1.189e+12,50500,3.8,41.3,0.98,4.3,80.4,1.13,98.5
"tajikistan",2.843e+10,3200,2.4,24.8,0.99,30.8,68.4,2.59,99.8
"tanzania",1.625e+11,3200,10.3,17.9,1,38.7,63.1,4.71,77.9
"thailand",1.236e+12,17900,0.7,38.1,0.96,9,75.1,1.52,92.9
"timor_leste",7.426e+09,6000,4.4,19.1,1,33.9,68.7,4.67,67.5
"togo",1.297e+10,1700,6.9,19.9,0.98,40.8,65.8,4.32,63.7
"tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA
"tonga",5.91e+08,5900,1.1,23.3,1.01,10.9,76.6,3.03,99.4
"trinidad_and_tobago",4.285e+10,31300,4.9,36.6,1.03,21.6,73.4,1.7,99
"tunisia",1.377e+11,11900,15.5,32,0.99,11.7,75.9,2.17,81.8
"turkey",2.186e+12,27000,10.9,31.4,1.01,16.9,75.3,2,96.2
"turkmenistan",1.037e+11,18200,11,28.3,0.98,33.1,70.7,2.06,99.7
"turks_and_caicos_islands",6.32e+08,29100,10,33.8,1.02,9.8,80.1,1.7,NA
"tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"uganda",8.919e+10,2400,9.4,15.9,0.99,54.6,56.3,5.62,78.4
"ukraine",3.696e+11,8800,9.2,40.8,0.86,7.7,72.4,1.55,99.8
"united_arab_emirates",6.96e+11,68600,1.6,37.2,2.64,5.5,78.7,1.73,93.8
"united_kingdom",2.925e+12,44300,4.4,40.5,0.99,4.2,80.9,1.88,NA
"united_states",1.949e+13,59800,4.4,38.2,0.97,5.7,80.1,1.87,NA
"uruguay",7.816e+10,22400,7.6,35.1,0.94,8.1,77.6,1.79,98.6
"uzbekistan",2.23e+11,6900,5,29.1,0.99,17.4,74.3,1.75,100
"vanuatu",7.72e+08,2700,1.7,22.3,1,13.9,74,2.97,85.2
"venezuela",3.816e+11,12500,27.1,28.7,0.99,11.9,76.2,2.3,97.1
"vietnam",6.487e+11,6900,2.2,30.9,1.01,16.7,73.9,1.79,94.5
"virgin_islands",3.872e+09,37000,10.4,41.3,0.91,7.7,79.5,2.06,NA
"wake_island",NA,NA,NA,NA,NA,NA,NA,NA,NA
"wallis_and_futuna",6e+07,3800,8.8,32.8,1.03,4.3,80,1.72,NA
"west_bank",2.122e+10,4300,27.9,21.4,1.04,13.6,75.4,3.2,96.9
"western_sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA
"yemen",7.363e+10,2500,27,19.8,1.02,44.6,66.2,3.48,70.1
"zambia",6.893e+10,4000,15,16.8,1,59.3,53,5.58,63.4
"zimbabwe",3.427e+10,2300,11.3,20.2,0.96,31.9,61.1,3.97,86.5
"european_union",2.085e+13,40900,8.6,43.2,0.96,3.9,80.7,1.62,NA
